room_type,accommodates,neighbourhood_cleansed,bedrooms,beds,price
Entire home/apt,6.0,Copacabana,1.0,2.0,339.0
Entire home/apt,2.0,Méier,1.0,2.0,69.0
Entire home/apt,3.0,Tijuca,3.0,3.0,250.0
Entire home/apt,6.0,Barra da Tijuca,2.0,3.0,464.0
Entire home/apt,6.0,Jacarepaguá,2.0,4.0,550.0
Entire home/apt,4.0,Copacabana,2.0,3.0,900.0
Entire home/apt,4.0,Barra da Tijuca,1.0,2.0,857.0
Private room,3.0,Paquetá,1.0,2.0,330.0
Entire home/apt,4.0,Paquetá,2.0,3.0,250.0
Entire home/apt,4.0,Centro,1.0,1.0,150.0
Entire home/apt,2.0,Botafogo,1.0,2.0,329.0
Entire home/apt,2.0,Copacabana,1.0,2.0,243.0
Entire home/apt,5.0,Recreio dos Bandeirantes,2.0,5.0,514.0
Entire home/apt,2.0,Copacabana,1.0,1.0,180.0
Entire home/apt,8.0,Ipanema,4.0,6.0,2293.0
Entire home/apt,2.0,Copacabana,1.0,1.0,329.0
Private room,2.0,Ipanema,1.0,1.0,287.0
Entire home/apt,5.0,Recreio dos Bandeirantes,2.0,3.0,400.0
Private room,2.0,Curicica,1.0,1.0,298.0
Entire home/apt,4.0,Copacabana,1.0,4.0,444.0
Entire home/apt,8.0,Leme,4.0,6.0,2000.0
Private room,1.0,Copacabana,1.0,1.0,300.0
Private room,2.0,Ipanema,1.0,1.0,929.0
Entire home/apt,6.0,Copacabana,3.0,3.0,950.0
Entire home/apt,8.0,Copacabana,3.0,4.0,2051.0
Entire home/apt,4.0,Cacuia,1.0,3.0,90.0
Private room,2.0,Ipanema,1.0,1.0,265.0
Entire home/apt,6.0,Ipanema,2.0,3.0,317.0
Entire home/apt,4.0,Cosme Velho,1.0,2.0,328.0
Entire home/apt,4.0,Ipanema,2.0,2.0,900.0
Shared room,6.0,Jardim Guanabara,1.0,6.0,126.0
Entire home/apt,6.0,Copacabana,2.0,5.0,786.0
Entire home/apt,4.0,Laranjeiras,2.0,3.0,531.0
Entire home/apt,6.0,Copacabana,2.0,4.0,743.0
Private room,2.0,Ipanema,1.0,2.0,220.0
Entire home/apt,4.0,Barra da Tijuca,2.0,2.0,1419.0
Private room,2.0,Laranjeiras,1.0,1.0,279.0
Entire home/apt,3.0,Copacabana,1.0,2.0,608.0
Entire home/apt,6.0,Leblon,2.0,4.0,1247.0
Entire home/apt,6.0,Leme,2.0,6.0,950.0
Entire home/apt,3.0,Copacabana,1.0,1.0,493.0
Entire home/apt,8.0,Leme,3.0,7.0,659.0
Entire home/apt,2.0,Centro,1.0,1.0,249.0
Entire home/apt,9.0,Barra da Tijuca,3.0,8.0,1771.0
Entire home/apt,5.0,Recreio dos Bandeirantes,3.0,3.0,583.0
Entire home/apt,5.0,Ipanema,2.0,3.0,693.0
Private room,2.0,Barra da Tijuca,1.0,2.0,378.0
Entire home/apt,5.0,Copacabana,1.0,2.0,429.0
Private room,2.0,Copacabana,1.0,1.0,450.0
Entire home/apt,6.0,Copacabana,4.0,7.0,993.0
Entire home/apt,5.0,Leblon,3.0,5.0,1000.0
Private room,5.0,Gávea,2.0,3.0,56.0
Private room,2.0,Barra da Tijuca,1.0,1.0,494.0
Shared room,1.0,Complexo do Alemão,1.0,1.0,900.0
Entire home/apt,6.0,Ipanema,3.0,3.0,3117.0
Entire home/apt,4.0,Leblon,1.0,3.0,1000.0
Entire home/apt,4.0,Copacabana,1.0,2.0,1043.0
Entire home/apt,5.0,Copacabana,1.0,4.0,250.0
Private room,3.0,Jacarepaguá,1.0,1.0,250.0
Entire home/apt,5.0,Copacabana,2.0,3.0,1005.0
Entire home/apt,4.0,Botafogo,2.0,3.0,309.0
Private room,5.0,Ipanema,2.0,4.0,1571.0
Entire home/apt,6.0,Glória,1.0,2.0,251.0
Entire home/apt,5.0,Guaratiba,2.0,3.0,337.0
Private room,2.0,Jacarepaguá,1.0,2.0,370.0
Entire home/apt,4.0,Ipanema,1.0,2.0,657.0
Entire home/apt,4.0,Copacabana,1.0,2.0,443.0
Private room,2.0,Pechincha,1.0,1.0,70.0
Entire home/apt,3.0,Copacabana,1.0,1.0,500.0
Entire home/apt,2.0,Copacabana,1.0,1.0,204.0
Entire home/apt,2.0,Urca,1.0,2.0,321.0
Entire home/apt,8.0,Leblon,3.0,6.0,1714.0
Entire home/apt,6.0,Leblon,2.0,2.0,1150.0
Private room,2.0,Glória,1.0,1.0,91.0
Shared room,7.0,Copacabana,1.0,7.0,110.0
Shared room,1.0,Botafogo,1.0,1.0,63.0
Entire home/apt,7.0,Barra da Tijuca,4.0,4.0,1589.0
Entire home/apt,4.0,Lins de Vasconcelos,1.0,3.0,94.0
Private room,2.0,Copacabana,1.0,2.0,243.0
Entire home/apt,3.0,Copacabana,1.0,2.0,391.0
Entire home/apt,3.0,Copacabana,1.0,2.0,284.0
Entire home/apt,7.0,Copacabana,2.0,5.0,3227.0
Entire home/apt,4.0,Copacabana,1.0,2.0,139.0
Private room,2.0,Barra da Tijuca,1.0,1.0,300.0
Entire home/apt,2.0,Copacabana,1.0,1.0,220.0
Entire home/apt,4.0,Copacabana,1.0,3.0,1100.0
Private room,3.0,Copacabana,1.0,1.0,221.0
Private room,1.0,Leme,1.0,1.0,371.0
Private room,3.0,Santa Teresa,1.0,2.0,100.0
Entire home/apt,8.0,Copacabana,3.0,6.0,1425.0
Entire home/apt,8.0,Humaitá,4.0,5.0,2270.0
Entire home/apt,3.0,Ipanema,1.0,2.0,1980.0
Entire home/apt,5.0,Recreio dos Bandeirantes,2.0,3.0,1036.0
Entire home/apt,4.0,Copacabana,1.0,2.0,457.0
Entire home/apt,6.0,Ipanema,2.0,3.0,1250.0
Entire home/apt,3.0,Lagoa,2.0,2.0,450.0
Entire home/apt,7.0,Campo Grande,2.0,2.0,87.0
Entire home/apt,4.0,Flamengo,1.0,2.0,200.0
Private room,2.0,Ipanema,1.0,1.0,1500.0
